amount,tenure,score,group,target,outlier
422.04,25.1,12.107,alpha,1436.09,0
224.66,5.1,76.024,alpha,1011.12,0
627.03,10.8,63.904,alpha,574.13,0
455.56,3.8,61.191,gamma,1159.58,0
205.84,3.2,19.369,gamma,1098.02,0
296.88,6.4,45.745,beta,1008.14,0
562.7,4.1,-7.462,gamma,935.11,0
667.63,4.5,4.294,alpha,471.35,0
899.35,0.9,47.008,gamma,513.29,0
1082.77,58.3,24.064,beta,1411.88,1
582.88,11.8,96.224,beta,853.62,0
302.09,1.4,41.863,gamma,1241.41,0
73.59,1.7,-0.808,alpha,599.24,1
501.44,15.8,-8.037,beta,738.29,0
337.41,8.2,69.778,alpha,1169.66,0
416.93,8.0,8.866,beta,974.37,0
377.58,2.7,10.659,alpha,1134.42,0
471.84,54.3,36.619,beta,996.59,1
713.2,12.1,19.047,gamma,948.08,0
531.41,3.5,57.823,alpha,829.99,0
468.27,9.1,43.426,alpha,701.5,0
515.645,8.5,2.26,alpha,1350.68,0
165.06,14.9,76.321,gamma,1391.83,0
402.74,11.4,36.844,beta,740.32,0
9229.274956263172,7.7,57.192,gamma,723.98,1
853.59,19.6,-9.566,gamma,913.06,1
526.05,5.3,58.904,alpha,1085.11,0
492.29,30.6,21.113,gamma,954.55,0
400.14,3.9,44.381,alpha,1124.88,0
263.01,6.2,22.749,alpha,987.69,0
306.98,0.6,99.589,gamma,971.34,1
354.95,16.0,15.393,beta,1603.27,0
925.69,10.5,90.415,gamma,868.7,1
335.72,16.2,90.976,alpha,1409.99,0
5007.06193568576,40.0,36.31,beta,1361.72,1
319.41,6.0,23.44,alpha,1126.02,0
686.31,17.0,31.914,gamma,518.47,0
576.99,13.0,98.827,gamma,1007.76,0
468.67,26.9,58.068,gamma,871.33,0
491.85,35.0,49.926,alpha,1005.02,0
369.04,25.8,-6.049,gamma,734.26,1
9572.778738141047,7.9,83.263,gamma,1189.06,1
409.0,2.7,-0.781,gamma,1246.25,0
254.88,1.4,-4.833,beta,1292.51,1
244.41,3.9,44.434,gamma,904.46,0
492.29,6.2,42.337,gamma,735.14,0
815.82,32.9,88.482,alpha,1087.92,1
532.0,5.5,76.909,gamma,1439.02,0
476.27,0.3,11.74,alpha,1017.35,0
557.17,5.1,30.929,gamma,1113.07,0
761.2,5.7,75.826,alpha,941.27,0
543.88,3.4,47.98,gamma,874.13,0
417.81,9.5,9.194,gamma,1164.57,0
721.26,6.4,33.566,gamma,973.48,0
585.75,0.9,58.853,gamma,1100.88,0
807.15,7.8,97.055,beta,1126.88,1
536.65,17.7,62.799,gamma,1086.88,0
255.11,13.0,-8.219,alpha,1139.46,1
226.37,0.9,67.551,beta,786.75,0
830.19,30.8,17.595,alpha,771.49,1
844.73,9.9,84.837,alpha,989.34,0
492.29,8.0,32.228,gamma,995.36,0
423.36,3.1,11.958,beta,869.42,0
792.29,8.2,41.474,alpha,1060.25,0
278.59,14.7,18.072,gamma,1227.05,0
321.05,0.4,15.94,gamma,1296.88,0
628.67,1.3,53.059,beta,1353.07,0
421.08,0.6,74.408,alpha,671.3,0
498.98,9.4,81.845,gamma,709.25,0
467.31,71.6,33.744,gamma,927.59,1
567.51,30.9,-2.652,alpha,1020.07,1
781.5,10.6,50.267,alpha,940.4,0
518.12,45.4,37.716,gamma,861.84,1
628.79,6.9,11.668,gamma,923.9,0
89.97,4.0,88.576,gamma,1120.83,1
490.26,8.2,97.156,alpha,667.59,0
331.35,3.3,-4.308,alpha,1585.84,0
256.24,4.3,77.532,beta,1005.25,0
324.37,9.0,61.029,beta,1262.71,0
492.29,12.0,18.758,gamma,855.0,0
683.18,21.3,44.434,gamma,1143.59,0
234.72,6.8,4.151,alpha,1025.02,0
506.13,15.8,-2.365,alpha,1214.2,0
403.17,0.5,99.284,alpha,950.34,1
434.47,3.0,60.001,alpha,1387.89,0
700.55,2.3,17.854,gamma,626.99,0
607.62,11.0,39.504,alpha,1237.34,0
767.48,1.6,94.51,gamma,1029.68,0
469.1,53.3,38.26,beta,745.42,1
515.645,9.7,89.049,alpha,1488.02,0
455.23,23.1,44.434,gamma,1462.17,0
548.5,1.0,27.857,beta,481.53,0
535.31,11.7,66.561,alpha,1044.2,0
283.12,17.7,62.655,alpha,1176.42,0
518.1,10.8,74.833,beta,1110.43,0
545.65,9.1,50.267,alpha,1378.88,0
1003.49,15.5,-4.254,beta,1326.91,1
875.37,37.0,8.814,beta,1066.3,1
329.35,11.2,57.821,alpha,1569.28,0
442.52,22.8,75.261,alpha,1234.21,0
207.31,5.4,73.165,beta,912.15,0
381.86,6.8,54.205,beta,861.91,0
563.12,11.3,-0.677,alpha,1310.84,0
741.17,2.2,-8.098,alpha,801.76,1
354.18,2.1,76.036,alpha,897.57,0
369.17,83.1,50.431,gamma,940.11,1
70.54,27.7,76.098,gamma,1088.91,1
467.47,34.2,7.907,beta,951.64,1
287.52,23.8,34.817,beta,670.76,0
394.11,8.2,91.109,alpha,1290.52,0
324.63,29.3,8.876,alpha,898.9,0
481.15,12.5,-3.232,gamma,1504.98,0
148.45,4.8,61.881,alpha,1076.0,0
206.59,25.1,55.399,gamma,1316.8,0
515.645,13.1,94.723,alpha,1157.72,0
242.52,3.1,89.712,alpha,1328.76,0
280.64,41.4,72.437,gamma,1142.58,1
867.38,16.8,-7.893,gamma,1058.79,1
1081.01,4.0,42.843,gamma,1273.31,1
265.69,8.9,88.571,alpha,1621.49,0
426.35,12.3,37.702,beta,932.55,0
515.645,7.5,95.836,alpha,1198.73,0
845.74,21.4,61.774,alpha,998.69,0
302.63,11.0,2.04,beta,1126.51,0
515.645,5.9,46.02,alpha,1010.54,0
655.47,13.3,66.518,alpha,460.56,0
586.95,26.4,-2.809,beta,949.95,1
424.77,1.0,27.911,gamma,1249.89,0
473.24,2.6,68.879,alpha,808.7,0
225.02,15.1,7.278,beta,1230.24,0
452.37,19.9,28.317,gamma,1045.9,0
446.72,5.8,65.89,gamma,952.13,0
546.43,3.1,75.309,beta,1226.45,0
388.93,58.0,47.036,alpha,1170.26,1
594.31,5.2,95.254,gamma,1105.14,0
702.54,2.0,91.786,alpha,1253.98,0
531.09,13.0,42.078,alpha,1050.77,0
570.35,11.9,43.3885,beta,588.83,0
510.63,1.8,75.022,alpha,905.47,0
500.02,11.6,16.745,alpha,548.9,0
355.69,0.6,82.71,alpha,1164.34,0
563.3,11.9,54.586,gamma,1224.05,0
480.54,4.0,33.35,gamma,1235.43,0
918.63,5.3,51.202,gamma,1122.27,0
814.67,4.7,48.609,alpha,1241.98,0
577.17,9.1,91.721,gamma,605.85,0
347.39,17.8,13.58,beta,973.11,0
277.52,10.5,92.097,gamma,646.27,0
738.23,3.5,-6.552,beta,910.42,0
552.55,1.9,74.612,alpha,1404.06,0
596.03,18.7,91.163,alpha,1273.31,0
151.08,6.4,33.346,alpha,1165.57,0
685.49,11.0,-1.963,gamma,954.59,0
590.88,5.8,78.513,beta,751.6,0
277.91,3.3,82.715,gamma,1046.76,0
405.7,2.2,26.988,gamma,1277.67,0
552.74,8.2,47.045,alpha,1102.47,0
5374.606130131107,0.7,50.267,alpha,603.58,1
441.57,26.6,50.267,alpha,1026.15,0
515.645,2.1,59.187,alpha,521.67,0
492.29,8.8,37.369,gamma,1201.05,0
530.51,4.9,9.186,beta,826.75,0
794.3,18.2,81.458,beta,694.22,0
13.33,15.4,25.715,alpha,1204.48,1
452.63,0.0,92.787,beta,1139.84,0
535.3,3.6,43.3885,beta,1058.1,0
559.2,15.8,46.596,alpha,1547.93,0
425.62,8.2,50.267,alpha,1158.75,0
148.66,8.4,34.074,beta,838.76,0
565.6,38.1,79.976,beta,1129.8,1
845.47,13.4,64.525,gamma,928.48,0
193.23,1.9,75.106,beta,1316.69,0
672.77,11.1,36.319,alpha,1070.24,0
434.29,13.3,18.758,gamma,1094.98,0
487.74,19.1,43.3885,beta,639.41,0
289.42,27.0,75.432,gamma,1015.34,0
433.11,1.1,50.267,alpha,985.93,0
760.01,44.6,46.015,alpha,743.95,1
616.53,1.9,41.628,alpha,944.62,0
492.29,1.9,37.425,gamma,1108.94,0
735.48,3.3,65.229,alpha,998.91,0
492.29,19.6,56.961,gamma,646.98,0
848.79,3.3,96.926,gamma,931.7,1
587.8,16.4,5.279,beta,882.99,0
665.6,19.0,53.087,gamma,1048.38,0
440.69,3.6,-3.044,gamma,1021.38,0
513.31,10.3,78.871,gamma,897.1,0
360.52,6.5,57.794,gamma,887.33,0
697.92,8.4,37.122,beta,1016.81,0
515.645,7.8,78.246,alpha,1240.74,0
656.47,0.1,40.05,alpha,1069.66,0
461.87,8.8,15.056,beta,1355.77,0
734.25,10.8,41.975,beta,1283.3,0
650.17,5.3,-2.209,beta,1374.17,0
864.13,32.4,88.765,alpha,1342.16,1
646.15,21.8,70.405,beta,1390.74,0
185.59,6.0,73.635,beta,711.71,0
486.61,4.1,86.194,gamma,1161.86,0
265.6,3.9,77.073,gamma,1304.58,0
8987.26915034295,2.7,37.504,beta,1349.76,1
802.25,28.1,3.05,gamma,807.32,1
627.51,5.4,31.07,alpha,1164.35,0
360.21,1.3,92.749,gamma,1018.8,0
492.29,15.5,94.4,gamma,1461.77,0
506.56,1.1,74.466,alpha,653.18,0
256.69,33.2,12.487,gamma,807.68,1
365.77,0.6,11.389,beta,547.34,0
562.4,6.2,86.775,alpha,1036.15,0
731.06,7.5,5.611,beta,1565.96,0
621.75,10.9,54.255,gamma,988.91,0
41.74,1.1,31.608,gamma,1025.26,1
560.87,18.0,23.221,beta,1137.56,0
514.41,5.0,64.512,beta,970.93,0
582.78,14.4,95.553,beta,1091.51,0
823.24,7.7,75.54,gamma,1098.05,0
87.35,8.4,43.478,beta,788.61,0
381.78,26.1,38.478,beta,976.49,0
618.18,0.0,89.843,gamma,1185.48,0
183.68,1.0,53.592,beta,1232.14,0
795.19,23.4,50.267,alpha,1324.63,0
573.67,39.6,65.112,alpha,1083.86,1
669.32,25.6,16.087,alpha,1088.95,0
385.81,28.2,-2.989,beta,1187.55,1
662.75,4.6,84.062,beta,851.31,0
713.69,43.0,56.799,alpha,841.06,1
546.58,10.7,8.136,gamma,968.8,0
546.88,8.2,22.785,alpha,681.25,0
554.07,8.2,98.893,alpha,1101.73,0
327.33,3.5,59.787,gamma,1262.27,0
470.49,14.8,59.972,alpha,822.49,0
469.5,34.3,-2.062,gamma,1108.79,1
576.68,5.4,96.589,gamma,842.72,0
699.96,14.5,88.206,gamma,745.86,0
288.29,7.0,50.256,gamma,1513.89,0
475.0,0.3,24.033,beta,749.44,0
796.29,2.4,66.786,beta,680.17,0
351.28,1.6,81.671,beta,1053.68,0
335.55,11.2,76.473,beta,1067.13,0
540.46,0.3,97.475,gamma,1166.81,0
668.88,5.8,60.054,beta,1500.31,0
501.44,38.3,25.335,beta,805.72,1
765.79,1.7,44.772,gamma,855.39,0
671.36,2.7,79.795,alpha,1402.2,0
668.36,3.4,19.188,beta,1234.78,0
610.82,12.1,15.455,gamma,1200.02,0
965.53,13.5,69.732,gamma,852.53,1
458.97,2.6,38.887,alpha,1281.47,0
99.3,5.7,79.823,alpha,1200.8,0
820.85,5.4,5.805,alpha,1047.38,0
408.46,2.1,26.927,gamma,853.77,0
521.58,2.4,19.491,alpha,1026.67,0
761.91,27.6,66.765,alpha,1412.12,0
179.55,1.3,73.526,beta,726.51,0
249.67,5.6,40.16,gamma,800.05,0
179.74,1.4,42.583,alpha,843.05,0
341.17,8.7,4.524,alpha,897.29,0
587.93,14.0,67.201,alpha,996.07,0
604.84,7.2,99.155,alpha,1239.64,0
555.25,3.9,75.571,alpha,1115.35,0
217.45,12.8,14.542,alpha,1015.21,0
37.98,3.5,58.544,beta,1069.25,0
510.87,21.6,22.445,alpha,1156.0,0
5116.485816037844,3.7,-6.681,beta,579.57,1
501.44,3.1,9.781,beta,1267.9,0
640.39,32.1,1.285,beta,793.4,1
527.65,33.6,11.553,beta,889.12,0
652.03,3.7,77.516,beta,1085.11,0
545.84,31.4,22.212,gamma,981.15,1
606.01,33.1,73.274,alpha,1121.73,1
359.07,4.2,94.375,beta,1035.46,0
464.08,24.9,53.17,beta,927.67,0
539.36,78.5,43.395,beta,1382.19,1
664.11,0.2,72.514,alpha,1177.02,0
421.25,20.6,0.68,alpha,1075.53,0
604.23,0.0,37.103,gamma,1173.13,0
446.83,27.4,44.871,gamma,823.67,0
476.49,2.0,81.416,beta,1543.69,0
665.9,20.3,50.267,alpha,728.09,0
101.39,2.9,83.309,beta,1028.29,0
240.71,4.8,66.766,alpha,928.39,0
203.56,4.4,48.361,alpha,918.9,0
33.28,5.2,81.067,alpha,886.44,0
364.35,25.2,86.061,alpha,807.07,0
649.89,6.1,42.853,alpha,1297.09,0
443.02,7.5,98.423,alpha,698.82,0
539.56,0.7,86.23,beta,1245.89,0
717.84,7.5,46.152,gamma,1162.13,0
765.54,3.5,-2.378,alpha,904.78,0
486.17,4.8,14.694,alpha,1133.15,0
770.72,14.9,75.404,alpha,960.53,0
518.43,4.2,2.227,beta,724.75,0
332.52,5.4,41.678,gamma,727.39,0
381.12,12.5,56.534,alpha,1163.86,0
203.89,4.9,86.618,alpha,1150.89,0
322.37,13.8,83.183,alpha,1060.5,0
428.4,2.4,74.071,beta,902.12,0
660.72,1.0,34.846,beta,952.39,0
844.15,3.6,5.647,beta,918.61,0
223.56,10.0,63.661,alpha,563.26,0
578.57,3.0,44.434,gamma,1015.31,0
291.89,61.2,51.745,beta,1130.61,1
594.94,13.0,97.875,gamma,1016.9,0
473.78,5.2,50.534,gamma,1442.29,0
133.82,59.8,61.011,alpha,748.86,1
685.66,5.6,64.533,alpha,834.72,0
6719.786075710625,0.1,81.343,gamma,1033.25,1
393.22,7.9,44.434,gamma,1060.94,0
286.05,15.1,44.726,beta,524.7,0
369.14,4.1,9.357,alpha,1150.67,0
585.58,1.3,57.615,alpha,1062.08,0
492.29,35.0,22.533,gamma,470.15,1
565.73,6.6,45.839,gamma,970.82,0
572.38,15.9,74.321,alpha,797.86,0
764.13,22.6,-8.067,gamma,886.67,1
431.44,10.3,52.031,alpha,665.47,0
204.63,8.2,9.079,alpha,1104.05,0
713.44,8.2,20.732,beta,1440.44,0
433.7,34.7,-6.182,beta,1066.26,1
722.92,4.7,8.641,gamma,460.15,0
8670.43313699228,17.3,98.529,alpha,1071.4,1
492.29,7.7,99.838,gamma,951.34,0
569.76,1.4,69.183,beta,724.75,0
890.2,14.8,57.304,alpha,1088.41,0
915.4,22.1,75.471,gamma,1219.94,1
513.88,5.7,88.621,beta,832.88,0
532.04,12.1,47.124,beta,589.07,0
715.25,7.0,-6.119,alpha,497.08,0
330.87,0.3,68.034,gamma,833.58,0
492.29,5.8,98.306,gamma,961.12,0
494.83,6.6,18.386,alpha,871.0,0
562.78,84.5,40.981,gamma,829.18,1
333.33,12.6,29.74,gamma,1141.97,0
182.09,2.6,32.951,beta,1115.71,0
85.4,7.0,69.354,gamma,1049.9,0
276.52,1.6,31.624,beta,1204.12,0
408.26,26.0,93.519,gamma,835.92,1
441.36,26.4,76.862,alpha,726.36,0
887.45,19.2,-6.959,alpha,869.42,1
721.2,4.3,80.04,beta,852.17,0
307.58,0.7,75.014,alpha,487.18,0
569.54,5.3,46.814,gamma,863.61,0
418.58,8.2,44.65,alpha,1276.21,0
492.29,23.8,44.434,gamma,1200.21,0
537.07,1.9,36.726,beta,1131.3,0
623.83,12.4,7.541,gamma,1032.9,0
432.15,7.0,24.419,gamma,1362.22,0
712.77,12.7,19.172,gamma,734.96,0
271.61,13.1,64.916,beta,758.79,0
501.27,1.2,9.676,gamma,1281.07,0
1019.53,8.2,60.925,alpha,1006.9,0
501.44,2.7,41.256,beta,832.21,0
786.64,8.9,82.363,alpha,1137.98,0
518.3,1.9,43.35,alpha,890.38,0
616.16,4.4,92.278,beta,790.62,0
488.64,5.4,89.052,alpha,783.66,0
465.92,6.5,10.382,beta,1080.39,0
344.1,19.4,65.478,beta,1051.45,0
586.06,0.1,13.609,alpha,1379.19,0
329.69,26.9,80.563,beta,927.48,0
633.12,8.8,44.434,gamma,923.21,0
717.06,11.4,43.3885,beta,1359.91,0
573.31,1.6,17.404,alpha,1246.41,0
442.75,10.9,37.254,beta,1036.22,0
590.79,6.1,78.08,beta,609.75,0
438.27,1.7,77.578,gamma,797.04,0
687.11,11.6,-6.329,beta,736.48,0
133.72,1.8,23.252,alpha,1009.11,0
432.88,1.9,36.514,alpha,872.91,0
515.645,44.0,54.414,alpha,1400.73,1
200.99,8.7,6.448,beta,607.14,0
492.29,19.7,26.881,gamma,709.67,0
679.04,0.8,87.416,gamma,1061.16,0
356.1,6.1,42.42,alpha,1130.36,0
199.5,1.4,71.856,beta,353.22,0
92.91,2.4,43.326,alpha,566.15,0
391.3,17.6,41.148,gamma,934.1,0
984.08,5.7,58.412,beta,1339.01,0
586.98,65.0,18.53,beta,1471.94,1
388.09,1.1,17.478,beta,896.38,0
593.02,6.3,98.829,alpha,957.34,0
187.81,3.7,85.589,alpha,790.78,0
440.54,3.3,71.153,gamma,1158.3,0
519.9,2.9,5.086,alpha,1382.13,0
492.29,11.0,44.434,gamma,1314.01,0
658.16,3.0,9.295,alpha,992.75,0
568.93,12.6,93.15,alpha,790.37,0
633.67,6.0,79.792,gamma,1002.05,0
362.33,11.7,47.538,gamma,1345.2,0
679.56,2.5,96.566,gamma,899.87,0
825.79,29.0,6.124,gamma,546.14,1
305.97,19.3,51.507,beta,910.0,0
322.46,9.8,10.154,alpha,930.24,0
767.16,21.0,23.707,beta,544.68,0
461.73,9.1,93.415,beta,1058.01,0
492.29,0.1,85.511,gamma,1126.5,0
411.49,8.6,1.198,alpha,1464.97,0
791.01,6.0,17.45,alpha,666.91,0
526.3,5.6,55.396,beta,1182.63,0
551.65,14.7,44.434,gamma,1241.71,0
812.94,1.9,50.509,gamma,1129.91,0
427.65,31.3,54.294,beta,748.3,0
311.78,14.5,22.006,beta,733.77,0
410.29,8.1,22.244,beta,1024.3,0
590.47,4.9,15.199,beta,1022.54,0
186.85,26.9,92.924,beta,860.14,1
627.49,4.2,32.776,alpha,1322.91,0
392.25,50.7,54.38,beta,899.81,1
729.56,10.9,23.173,beta,526.57,0
21.15,33.7,67.293,gamma,943.99,1
342.69,3.9,1.159,gamma,1120.07,0
162.71,35.1,-2.119,gamma,1085.49,1
334.75,22.3,71.871,alpha,1083.56,0
549.53,1.9,69.933,beta,1373.5,0
464.15,20.3,19.15,beta,721.3,0
449.32,12.6,29.055,gamma,894.07,0
468.16,0.3,43.3885,beta,1386.26,0
540.68,30.9,1.476,gamma,508.16,1
298.29,2.4,44.434,gamma,986.58,0
641.37,0.8,37.304,beta,1307.23,0
632.53,0.8,21.031,gamma,1303.5,0
577.01,1.6,61.391,gamma,1165.03,0
611.31,20.7,65.966,gamma,1171.36,0
559.28,11.2,47.903,gamma,739.74,0
907.01,11.1,57.232,beta,1343.29,0
501.44,0.1,37.676,beta,699.98,0
438.58,8.4,73.643,beta,714.9,0
349.29,17.0,-5.369,gamma,1096.97,1
293.55,6.3,24.418,beta,876.75,0
251.11,3.0,44.434,gamma,1051.67,0
322.24,5.5,26.261,gamma,1107.69,0
485.86,15.3,-1.361,beta,1444.53,0
566.86,1.0,27.951,beta,1108.43,0
510.23,1.6,68.264,beta,845.37,0
346.89,2.2,3.418,gamma,1169.12,0
680.04,1.2,69.709,alpha,792.06,0
647.88,13.9,75.3,alpha,1228.29,0
468.07,0.7,59.883,alpha,1016.16,0
369.42,6.3,16.866,alpha,1100.14,0
609.69,8.3,78.582,gamma,554.84,0
537.59,8.9,13.589,gamma,437.31,0
210.37,2.1,89.64,beta,624.64,0
486.4,13.3,67.731,alpha,1436.44,0
552.41,33.4,-3.981,beta,712.96,1
320.06,18.7,77.922,gamma,1183.08,0
537.97,43.0,45.708,alpha,839.52,1
209.04,39.0,39.791,beta,939.99,1
767.24,1.3,36.256,beta,988.82,0
749.59,6.5,56.729,gamma,1410.94,0
449.5,8.4,69.704,beta,1146.13,0
572.69,0.7,88.557,beta,1096.26,0
18.02,3.3,20.024,gamma,1324.17,1
268.73,3.1,59.385,gamma,841.7,0
441.24,8.4,65.498,beta,1267.09,0
285.57,16.0,64.228,gamma,1225.33,0
642.88,15.6,44.434,gamma,1222.47,0
899.46,19.0,33.012,beta,961.25,1
264.68,7.7,73.862,gamma,890.67,0
332.51,7.3,23.001,beta,782.54,0
547.09,33.5,12.886,beta,798.2,1
822.22,8.2,50.041,alpha,770.75,0
255.53,10.2,19.437,gamma,1091.71,0
549.81,9.2,-6.344,alpha,942.92,0
864.26,37.3,-4.327,gamma,1107.85,1
169.65,34.0,66.451,gamma,1121.97,1
243.79,4.3,97.046,gamma,735.06,0
415.28,40.3,40.016,alpha,727.56,1
395.88,8.2,6.177,beta,942.83,0
662.52,15.6,79.989,gamma,806.22,0
501.44,32.0,43.3885,beta,779.9,0
145.01,11.4,99.519,beta,1423.92,1
603.08,13.0,51.959,beta,616.66,0
384.49,37.1,15.59,alpha,1505.77,1
754.89,9.0,44.561,beta,1072.22,0
374.48,7.7,44.434,gamma,1246.56,0
372.68,8.2,75.742,alpha,1217.08,0
608.23,2.6,1.64,alpha,1154.24,0
652.59,8.2,84.27,alpha,1415.46,0
589.62,7.7,74.407,beta,729.4,0
162.88,13.8,84.75,alpha,960.91,0
607.61,20.4,88.449,beta,786.79,0
293.14,0.6,15.276,gamma,575.98,0
547.06,22.2,47.311,alpha,834.69,0
215.25,21.0,83.491,alpha,1468.14,0
589.26,16.5,31.513,alpha,956.63,0
338.68,2.8,-3.355,beta,1495.88,0
243.47,25.8,22.08,gamma,1521.46,0
642.76,0.6,16.611,alpha,1748.78,0
548.33,0.6,85.707,alpha,1476.37,0
377.2,4.4,41.023,alpha,1589.53,0
790.24,1.4,65.19,gamma,1081.29,0
411.87,0.5,95.833,alpha,1057.08,0
506.42,11.9,22.911,beta,1073.71,0
